date,description,amount,category
2023-02-07,RECREATION.GOV 877-444-6777 NM,-72.93,
2023-02-10,GRUBHUB HOLDINGS INC. 877-585-1085 NY,-10.93,
2023-02-11,CHIPOTLE ONLINE CHIPOTLE.COM CA,-28.00,
2023-02-11,SAMMAMISH CAFE SAMMAMISH WA,-76.15,
2023-02-11,STARBUCKS STORE 03255 BELLEVUE WA,-20.65,
2023-02-13,CHEVRON 0308073 SAMMAMISH WA,-61.47,
2023-02-14,SQ *VICTORIA GARCIA gosq.com WA,-242.06,
2023-02-16,CHIPOTLE 2878 SAMMAMISH WA,-11.23,
2023-02-18,SAMMAMISH CAFE SAMMAMISH WA,-68.28,
2023-02-18,SHELL OIL 10047105001 PRESTON WA,-66.25,
2023-02-19,THE BLACK CAT BELLINGHAM WA,-61.37,
2023-02-20,SQ *VICTORIA GARCIA gosq.com WA,-385.23,
2023-02-20,CHEVRON 0308073 SAMMAMISH WA,-72.81,
2023-02-21,WILDFIN AMERICAN GRILL 425-4270127 WA,-84.34,
2023-02-25,SAMMAMISH CAFE SAMMAMISH WA,-70.00,
2023-02-26,HABIT BURGER GRILL 5072 SAMMAMISH WA,-23.67,
2023-03-01,SUNCADIA CLE ELUM WA,-1533.62,
2023-03-03,AUTOMATIC PAYMENT - THANK YOU,1762.93,
2023-03-03,CHIPOTLE 3490 BELLEVUE WA,-13.16,
2023-03-03,CHEVRON 0308073 SAMMAMISH WA,-29.13,
2023-03-03,USPS PO 5453060253 MERCER ISLAND WA,-100.00,
2023-03-03,SAMMAMISH CAFE SAMMAMISH WA,-46.24,
2023-03-04,CL *Chase Travel TRIPCHRG.COM VA,-6444.42,
