date,description,amount,category
2025-12-11,SDOT PAYBYPHONE PARKING 2066842489 WA,-12.00,
2025-12-12,QFC #5840 SAMMAMISH WA,-5.50,
2025-12-12,QFC #5840 SAMMAMISH WA,-1.23,
2025-12-12,MCDONALD'S F11996 SAMMAMISH WA,-31.88,
2025-12-13,"CHARGEPOINT, INC 408-841-4500 CA",-1.00,
2025-12-13,SQ *NINJA QUEST ADVENTURE Issaquah WA,-99.27,
2025-12-13,SQ *CAKES N PARTY Sammamish WA,-10.70,
2025-12-13,SQ *BUNNY AND THE SHOE Sammamish WA,-75.04,
2025-12-13,SQ *MOONPUP MAKERS Issaquah WA,-33.20,
2025-12-13,SP FEELLINKS 120-63496898 WA,-49.61,
2025-12-14,TOBEYSTUTOR.COM NEW YORK NY,29.00,
2025-12-14,TOBEYSTUTOR.COM NEW YORK NY,29.00,
2025-12-14,PREMIUM PARKING PREMIUMPARKIN LA,-20.48,
2025-12-16,TESLA SUBSCRIPTION US PALO ALTO CA,-13.22,
2025-12-17,SKILLET NORTH SATELLIT SEATTLE WA,-3.85,
2025-12-22,"CURSOR, AI POWERED IDE CURSOR.COM NY",-22.04,
2025-12-26,GlobalE /Vivobarefoot US New York NY,-128.94,
2025-12-26,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,-22.04,
2025-12-28,ADOBE *800-833-6687 ADOBE.LY/ENUS CA,-11.99,
2025-12-29,GOOGLE *FI Z8ZJ5S g.co/helppay# CA,-106.80,
2026-01-01,WWW.PROVID* PROVIDENCE PROVIDENCE.OR WA,-24.12,
2026-01-02,YMCA OF GREATER SEATTLE 206-382-5022 WA,-91.00,
2026-01-03,QFC #5840 SAMMAMISH WA,-35.87,
2026-01-04,QFC #5840 SAMMAMISH WA,-19.37,
2026-01-04,COSTCO WHSE #0110 ISSAQUAH WA,-158.19,
2026-01-05,PUGET SOUND ENERGY INC 888-225-5773 WA,-222.22,
2026-01-05,MCDONALD'S F11996 SAMMAMISH WA,-2.19,
2026-01-05,QFC #5840 SAMMAMISH WA,-32.15,
2026-01-06,WALGREENS #6357 ISSAQUAH WA,-58.08,
2026-01-07,MED*MULTICARE HEALTH SYS TACOMA WA,-123.29,
2026-01-07,TRADER JOE S #160 SAMMAMISH WA,-34.02,
2026-01-08,WEEE INC. 5105734967 CA,-55.01,
2026-01-09,AUTOMATIC PAYMENT - THANK YOU,3773.80,
2026-01-09,WISPR WISPRFLOW.AI CA,-15.00,
2026-01-10,QFC #5840 SAMMAMISH WA,-1.64,
2026-01-10,MED*SWEDISH MEDICAL GROUP 888-294-9333 WA,-19.27,
2026-01-10,TRADER JOE S #160 SAMMAMISH WA,-18.96,
2026-01-11,QFC #5840 SAMMAMISH WA,-9.90,
2026-01-11,MOX BOARDING HOUSE BELLEV BELLEVUE WA,-132.34,
2026-01-11,VIRGINIA MASON MEDICAL CE 206-2236601 WA,-28.85,
