date,description,amount,category
2025-11-14,VERITASVANS.COM VERITASVANS.C CA,-159.97,
2025-11-14,SQ *SOMISOMI Bellevue WA,-18.66,
2025-11-15,MOI Seattle Seattle WA,-49.27,
2025-11-15,ASIAN FAMILY MARKET BE BELLEVUE WA,-68.58,
2025-11-15,NUODLE 142-53959999 WA,-62.97,
2025-11-16,RAINIER SQUARE SEATTLE WA,-10.00,
2025-11-16,TESLA SUBSCRIPTION US PALO ALTO CA,-13.22,
2025-11-16,TESLA SUBSCRIPTION US PALO ALTO CA,-109.10,
2025-11-16,MOD PIZZA SAMMAMISH SAMMAMISH WA,-27.19,
2025-11-16,TRADER JOE S #160 SAMMAMISH WA,-11.34,
2025-11-17,COSTCO WHSE #0110 ISSAQUAH WA,-164.28,
2025-11-17,USCIS ELIS I90 800-375-5283 DC,-415.00,
2025-11-18,NEW VISION EYECARE SAMMAMISH WA,-319.20,
2025-11-18,QFC #5824 ISSAQUAH WA,-5.49,
2025-11-18,MCDONALD'S F11996 SAMMAMISH WA,-2.19,
2025-11-20,SQ *PINE LAKE MAIL POST Sammamish WA,-15.72,
2025-11-20,STARBUCKS 00325 SAMMAMISH WA,-6.79,
2025-11-21,SP SPACETEK MILDURA,-75.00,
2025-11-21,QFC #5824 ISSAQUAH WA,-22.02,
2025-11-22,"CURSOR, AI POWERED IDE CURSOR.COM NY",-22.04,
2025-11-23,SQ *MAEVE LI - SUITE 354 Issaquah WA,-138.00,
2025-11-23,SQ *JOSE DE LA TORRE Kirkland WA,-15.50,
2025-11-24,JET CITY DEVICE REPAIR BELLEVUE WA,-220.38,
2025-11-24,TRADER JOE S #160 SAMMAMISH WA,-34.09,
2025-11-26,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,-22.04,
2025-11-26,BURGER KING #11361 TWENTYNINE PA CA,-15.88,
2025-11-26,STATERBROS105 TWENTYNINE PA CA,-26.06,
2025-11-28,ADOBE *800-833-6687 ADOBE.LY/ENUS CA,-11.99,
2025-11-28,CTLP*CSC SERVICEWORKS MELVILLE NY,-3.00,
2025-11-29,TWENTYNINE PALMS VISITOR TWENTYNIN PLM CA,-6.47,
2025-11-29,GOOGLE *FI F7283G g.co/helppay# CA,-122.51,
2025-11-30,ARCO# 42929 YUCCA VALLEY CA,-45.93,
2025-12-01,YMCA OF GREATER SEATTLE 206-382-5022 WA,-91.00,
2025-12-01,QFC #5824 ISSAQUAH WA,-56.82,
2025-12-02,PUGET SOUND ENERGY INC 888-225-5773 WA,-223.88,
2025-12-02,COSTCO WHSE #0110 ISSAQUAH WA,-390.59,
2025-12-04,CARDIA VISION LLC 425-9988627 WA,-49.00,
2025-12-04,REI.COM 800-426-4840 800-426-4840 WA,-37.18,
2025-12-04,TRADER JOE S #160 SAMMAMISH WA,-104.38,
2025-12-05,"CARDIA VISION, LLC BELLEVUE WA",-100.00,
2025-12-05,REI.COM 800-426-4840 800-426-4840 WA,-37.16,
2025-12-06,Payment Thank You-Mobile,5000.00,
2025-12-06,ASIAN FAMILY MARKET BE BELLEVUE WA,-46.47,
2025-12-07,SQ *MAEVE LI - SUITE 354 Issaquah WA,-120.00,
2025-12-08,TOBEYSTUTOR.COM TOBEYSTUTOR.C NY,-29.00,
2025-12-08,DELLINO LAW GROUP 206-6596839 WA,-198.00,
2025-12-08,QFC #5840 SAMMAMISH WA,-18.06,
2025-12-08,QFC #5840 SAMMAMISH WA,-10.00,
2025-12-08,TRADER JOE S #160 SAMMAMISH WA,-35.39,
2025-12-09,TOBEYSTUTOR.COM TOBEYSTUTOR.C NY,-29.00,
2025-12-09,"CHARGEPOINT, INC 408-841-4500 CA",-1.00,
2025-12-09,MCDONALD'S F11996 SAMMAMISH WA,-2.19,
2025-12-09,COSTCO WHSE #0110 ISSAQUAH WA,-69.31,
2025-12-09,WISPR WISPRFLOW.AI CA,-15.00,
2025-12-11,TST* PARIS BAGUETTE - 353 REDMOND WA,-10.00,
2025-12-11,"CHARGEPOINT, INC 408-841-4500 CA",-1.00,
