date,description,amount,category
2025-08-16,QFC #5824 ISSAQUAH WA,-39.85,
2025-08-17,2451 GREAT CLIPS KLAHANIE ISSAQUAH WA,-32.00,
2025-08-17,SAMMAMISH COMMUNITY YMCA SAMMAMISH WA,-64.63,
2025-08-18,B&H PHOTO 800-606-6969 800-2215743 NY,-1541.70,
2025-08-18,COSTCO WHSE #0110 ISSAQUAH WA,-162.68,
2025-08-22,QFC #5840 SAMMAMISH WA,-24.84,
2025-08-22,QFC #5840 SAMMAMISH WA,-37.49,
2025-08-27,QFC #5824 ISSAQUAH WA,-57.85,
2025-08-27,SAN DIEGO LIFE MARKET SAN DIEGO CA,-9.89,
2025-08-30,SQ *BEES IN THE ?BURBS - Issaquah WA,-25.00,
2025-08-30,SQ *BROTHERS FARMS Issaquah WA,-20.00,
2025-08-30,SQ *MARKET PASTA Issaquah WA,-68.00,
2025-09-01,QFC #5824 ISSAQUAH WA,-73.08,
2025-09-01,QFC #5840 SAMMAMISH WA,-6.90,
2025-09-02,YMCA OF GREATER SEATTLE 206-382-5022 WA,-91.00,
2025-09-03,OFFICE DEPOT #2542 800-463-3768 WA,-2.20,
2025-09-03,OFFICE DEPOT #1078 800-463-3768 WA,-51.46,
2025-09-05,REI.COM 800-426-4840 800-426-4840 WA,-150.41,
