date,description,amount,category
2025-10-13,COSTCO WHSE #0110 ISSAQUAH WA,-54.90,
2025-10-14,QFC #5824 ISSAQUAH WA,-15.96,
2025-10-15,eBay O*01-13719-59653 San Jose CA,-38.55,
2025-10-18,QFC #5840 SAMMAMISH WA,-10.48,
2025-10-18,COSTCO WHSE #0110 ISSAQUAH WA,-4.94,
2025-10-18,COSTCO WHSE #0110 ISSAQUAH WA,-127.93,
2025-10-19,MCDONALD'S F11996 SAMMAMISH WA,-25.41,
2025-10-19,MCDONALD'S F11996 SAMMAMISH WA,-4.39,
2025-10-20,B&H PHOTO 800-606-6969 800-2215743 NY,110.20,
2025-10-22,HANNA ANDERSSON HANNAANDERSSO OR,-75.27,
2025-10-22,ISLAND COUNTRY MKTS #93 KAPAA HI,-48.38,
2025-10-23,TST*JOJOS ENTERPRISES L Kapaa HI,-11.66,
2025-10-23,ROSS STORES #1964 KAPAA HI,-26.17,
2025-10-23,ISLAND COUNTRY MKTS #93 KAPAA HI,-12.56,
2025-10-26,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,-22.04,
2025-10-27,COSTCO WHSE #0110 ISSAQUAH WA,-112.84,
2025-10-28,QFC #5824 ISSAQUAH WA,-6.50,
2025-10-28,NEW VISION EYECARE SAMMAMISH WA,-376.00,
2025-10-28,QFC #5824 ISSAQUAH WA,-14.47,
2025-10-28,ADOBE *800-833-6687 ADOBE.LY/ENUS CA,-11.99,
2025-10-28,MCDONALD'S F11996 SAMMAMISH WA,-22.01,
2025-10-28,SP ANKER SOLIX US.ANKERSOLIX CA,-2974.30,
2025-10-29,PUGET SOUND ENERGY INC 888-225-5773 WA,-173.30,
2025-10-29,GOOGLE *FI 6MJLL5 g.co/helppay# CA,-78.67,
2025-10-30,TESLA COMMERCE US Palo Alto CA,-55.10,
2025-10-30,TESLA COMMERCE US Palo Alto CA,-38.57,
2025-10-30,COSTCO WHSE #0110 ISSAQUAH WA,-91.57,
2025-10-31,TARGET 00009969 ISSAQUAH WA,-35.94,
2025-11-01,REMLINGER FARM LLC CARNATION WA,-80.49,
2025-11-03,YMCA OF GREATER SEATTLE 206-382-5022 WA,-91.00,
2025-11-03,TRADER JOE S #160 SAMMAMISH WA,-42.65,
2025-11-04,EB *RAISING FUTURE-REA 801-413-7200 CA,-11.04,
2025-11-04,QFC #5824 ISSAQUAH WA,-20.48,
2025-11-07,GARDEN OF THE GODS COLORADO SPRI CO,-29.76,
2025-11-07,PARK GOLDEN CO HONK 303-2963870 CO,-10.75,
2025-11-07,TST*RED SILO COFFEE ROAS Golden CO,-6.54,
2025-11-08,TOBEYSTUTO* TRIAL OVER TOBEYSTUTOR.C NY,-29.00,
2025-11-08,TST*RED SILO COFFEE ROAS Golden CO,-6.54,
2025-11-08,TST*RED SILO COFFEE ROAS Golden CO,-6.54,
2025-11-09,CIRCLE K 09888 LAKEWOOD CO,-24.40,
2025-11-09,QFC #5824 ISSAQUAH WA,-23.70,
2025-11-09,TOBEYSTUTO* TRIAL OVER TOBEYSTUTOR.C NY,-29.00,
2025-11-10,AUTOMATIC PAYMENT - THANK YOU,1417.82,
2025-11-10,TRADER JOE S #160 SAMMAMISH WA,-29.67,
2025-11-12,QFC #5840 SAMMAMISH WA,-5.52,
