date,description,amount,category
2024-11-07,AMAZON MKTPL*6Q17W1ZL3 Amzn.com/bill WA,-29.74,
2024-11-07,AMZ*Woot LLC support@woot. TX,-59.67,
2024-11-08,AMAZON MKTPL*4B53S2VZ3 Amzn.com/bill WA,-220.38,
2024-11-11,Amazon Music*CP3F70WW3 888-802-3080 WA,-18.72,
2024-11-13,Amazon.com*N87LS8JV3 Amzn.com/bill WA,-6.24,
2024-11-13,AMAZON MKTPL*TH90N2013 Amzn.com/bill WA,-30.84,
2024-11-15,AMAZON MKTPL*4X0MZ8J53 Amzn.com/bill WA,-29.90,
2024-11-16,Amazon.com*QI0B025J3 Amzn.com/bill WA,-33.21,
2024-11-18,Amazon.com*430973JP3 Amzn.com/bill WA,-38.56,
2024-11-19,AMAZON MKTPL*CV82J3FC3 Amzn.com/bill WA,-87.82,
2024-11-22,AMAZON MKTPL*RD3NA5RZ3 Amzn.com/bill WA,-22.38,
2024-11-22,AMZN Mktp US*KP9470UI3 Amzn.com/bill WA,-274.40,
2024-11-22,AMAZON MKTPL*RE2092HM3 Amzn.com/bill WA,-15.86,
2024-11-23,AMAZON MKTPL*6R3OS9B93 Amzn.com/bill WA,-7.48,
2024-11-23,Amazon.com*OP6581263 Amzn.com/bill WA,-34.96,
2024-11-23,AMAZON MKTPL*SV0LX8JQ3 Amzn.com/bill WA,-16.52,
2024-11-23,AMAZON MKTPL*119O41Z93 Amzn.com/bill WA,-57.28,
2024-11-23,AMAZON MKTPL*LR5P84S53 Amzn.com/bill WA,-10.68,
2024-11-23,AMAZON MKTPL*RN4U20FT3 Amzn.com/bill WA,-25.27,
2024-11-23,AMAZON MKTPL*CP3602UR3 Amzn.com/bill WA,-21.48,
2024-11-23,AMAZON MKTPL*DR5C26TU3 Amzn.com/bill WA,-99.17,
2024-11-24,AMAZON MKTPL*HB4IK3EY3 Amzn.com/bill WA,-11.01,
2024-11-25,Amazon.com*TC5H93823 Amzn.com/bill WA,-27.54,
2024-11-25,AMAZON MKTPL*DP93D9V03 Amzn.com/bill WA,-29.74,
2024-11-25,AMAZON MKTPL*FX5MY80M3 Amzn.com/bill WA,-35.25,
2024-11-25,AMZN Mktp US*7W4VT65D3 Amzn.com/bill WA,-198.35,
2024-11-25,AMAZON MKTPL*TE5TK0FU3 Amzn.com/bill WA,-21.02,
2024-11-25,AMAZON MKTPL*IF0X27WX3 Amzn.com/bill WA,-14.60,
2024-11-26,AMAZON MKTPL*CU91U4CO3 Amzn.com/bill WA,-37.90,
2024-11-26,AMAZON MKTPL*EL4A04KM3 Amzn.com/bill WA,-24.17,
2024-11-27,Amazon Kids+*Z37HA3AQ2 888-802-3080 WA,-6.60,
2024-11-29,Amazon.com*Z33VH7DF2 Amzn.com/bill WA,-51.81,
2024-11-29,AMAZON MKTPL*Z308Y1KT0 Amzn.com/bill WA,-115.70,
2024-11-29,Amazon.com*Z396L88M2 Amzn.com/bill WA,-30.79,
2024-11-30,AMAZON MKTPLACE PMTS Amzn.com/bill WA,87.82,
2024-11-30,Amazon.com*Z35P75841 Amzn.com/bill WA,-40.42,
2024-12-01,AMAZON MKTPL*Z37EO0QE1 Amzn.com/bill WA,-9.40,
2024-12-01,AMAZON MKTPL*ZL8T23FH2 Amzn.com/bill WA,-19.82,
2024-12-01,Amazon.com*ZL2HP3FX0 Amzn.com/bill WA,-15.58,
2024-12-01,Amazon.com*Z33OM5SJ1 Amzn.com/bill WA,-47.24,
2024-12-02,Amazon.com*ZL4ZA3XD2 Amzn.com/bill WA,-59.85,
2024-12-02,AMAZON MKTPL*ZL6A00PB0 Amzn.com/bill WA,-13.87,
2024-12-02,AMZN Mktp US*Z38H97UE1 Amzn.com/bill WA,-1100.90,
2024-12-03,AUTOMATIC PAYMENT - THANK YOU,1359.02,
2024-12-05,AMAZON MKTPL*ZL0AK7MG1 Amzn.com/bill WA,-53.96,
2024-12-05,AMAZON MKTPL*ZL7IQ3M41 Amzn.com/bill WA,-9.84,
