date,description,amount,category
2025-04-06,AMAZON MKTPL*3I1YY8RF3 Amzn.com/bill WA,-15.86,
2025-04-06,Amazon.com*W37ZA8ZP3 Amzn.com/bill WA,-20.97,
2025-04-06,AMAZON MKTPL*0R0J46SG3 Amzn.com/bill WA,-11.01,
2025-04-07,AMAZON MKTPL*BS6FU6A33 Amzn.com/bill WA,-18.50,
2025-04-08,AMAZON MKTPL*VZ0BV1IF3 Amzn.com/bill WA,-7.55,
2025-04-08,AMAZON MKTPL*ZO9YC5NF3 Amzn.com/bill WA,-17.37,
2025-04-09,AMAZON MKTPL*QR7BY4UQ3 Amzn.com/bill WA,-121.20,
2025-04-11,Amazon.com*S14V90FO3 Amzn.com/bill WA,-31.30,
2025-04-11,Amazon Music*CR2QG00A3 888-802-3080 WA,-22.03,
2025-04-15,AMAZON MKTPL*JO6AR2JA3 Amzn.com/bill WA,-28.09,
2025-04-15,Amazon.com*JJ4179IE3 Amzn.com/bill WA,-5.44,
2025-04-27,Amazon.com*F48DP8B53 Amzn.com/bill WA,-19.72,
2025-04-29,AMAZON MKTPL*QL6D817P3 Amzn.com/bill WA,-10.68,
2025-04-29,AMAZON MKTPL*NB7MP8X02 Amzn.com/bill WA,-17.37,
2025-04-30,AMAZON MKTPL*NB4JK9QT2 Amzn.com/bill WA,-19.77,
2025-04-30,Amazon.com*N22712KG1 Amzn.com/bill WA,-5.94,
2025-05-01,Amazon.com*WU8ZZ9U23 Amzn.com/bill WA,-15.89,
2025-05-02,AUTOMATIC PAYMENT - THANK YOU,102.72,
2025-05-03,AMAZON MKTPL*NI2YQ0ZY2 Amzn.com/bill WA,-12.11,
2025-05-04,Audible*NI0KQ6EK2 Amzn.com/bill NJ,-18.73,
2025-05-05,Amazon.com*NB3AB65J1 Amzn.com/bill WA,-8.80,
2025-05-05,AMAZON MKTPL*NI2L48VL2 Amzn.com/bill WA,-26.40,
