date,description,amount,category
2025-05-10,AMAZON MKTPL*NW01P3AX2 Amzn.com/bill WA,-15.86,
2025-05-12,Amazon.com*NW06F28G2 Amzn.com/bill WA,-9.80,
2025-05-16,Amazon.com*NZ2Y60AZ2 Amzn.com/bill WA,-7.71,
2025-05-18,AMAZON MKTPL*NW2Z55B70 Amzn.com/bill WA,-7.04,
2025-05-18,AMAZON MKTPL*NW3D32BX0 Amzn.com/bill WA,-22.03,
2025-05-19,AMAZON MKTPL*NW5AY72P1 Amzn.com/bill WA,-8.80,
2025-05-20,AMAZON MKTPL*NW11N3YF0 Amzn.com/bill WA,-33.05,
2025-05-21,Amazon.com*NN30W8O42 Amzn.com/bill WA,-16.31,
2025-05-21,AMAZON MKTPL*NZ00I6FA0 Amzn.com/bill WA,-42.92,
2025-05-21,AMAZON MKTPL*NZ2HI0ZF1 Amzn.com/bill WA,-17.14,
2025-05-22,Amazon.com*NN1CM9NV2 Amzn.com/bill WA,-15.02,
2025-05-24,AMAZON MKTPL*NZ2XC82J1 Amzn.com/bill WA,-18.72,
2025-05-27,AMAZON MKTPL*NN4590ND1 Amzn.com/bill WA,-28.64,
2025-05-30,Kindle Svcs*NN0LE65F0 888-802-3080 WA,-1.09,
2025-05-30,AMAZON MKTPL*N67HK90O2 Amzn.com/bill WA,-19.78,
2025-05-30,AMAZON PRIME*N635C2022 Amzn.com/bill WA,-153.18,
2025-06-02,AMAZON MKTPL*N68GZ6O10 Amzn.com/bill WA,-9.91,
2025-06-02,AMAZON MKTPL*N63661K22 Amzn.com/bill WA,-8.80,
2025-06-03,AUTOMATIC PAYMENT - THANK YOU,454.73,
2025-06-03,AMAZON MKTPL*NH3SF1CG2 Amzn.com/bill WA,-39.66,
2025-06-04,Amazon.com*N63XA35Y1 Amzn.com/bill WA,-12.06,
