date,description,amount,category
2025-06-06,Kindle Svcs*N61Q76UF1 888-802-3080 WA,-11.01,
2025-06-11,AMAZON MKTPL*NH87R6DT1 Amzn.com/bill WA,-28.65,
2025-06-11,AMAZON MKTPL*NH6VC6QG0 Amzn.com/bill WA,-26.39,
2025-06-12,Amazon.com*NH9KZ2KI0 Amzn.com/bill WA,-16.52,
2025-06-12,Amazon.com*NA19H75J2 Amzn.com/bill WA,-2.73,
2025-06-29,AMAZON MKTPL*N32E00TW2 Amzn.com/bill WA,-122.76,
2025-06-29,AMAZON MKTPL*NQ34U82H0 Amzn.com/bill WA,-59.51,
2025-07-03,AUTOMATIC PAYMENT - THANK YOU,487.52,
2025-07-03,AMAZON MKTPL*N32WV2PY0 Amzn.com/bill WA,-22.91,
2025-07-04,Audible*NL1PJ3LD2 Amzn.com/bill NJ,-18.73,
2025-07-05,AMAZON MKTPL*N39AL5S50 Amzn.com/bill WA,-38.56,
2025-07-05,AMAZON MKTPL*NL2I95NN2 Amzn.com/bill WA,-825.40,
