date,description,amount,category
2026-01-01,APPLE.COM/BILL ONE APPLE PARK CUPERTINO 95014 CA USA,-4.40,
2026-01-04,W8TECH_*SA 3250 PEPPER LANE LAS VEGAS 89120 NV USA,-130.00,
2026-01-07,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-9.99,
2026-01-11,APPLE.COM/BILL ONE APPLE PARK CUPERTINO 95014 CA USA,-45.74,
2026-01-18,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-66.17,
2026-01-18,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-15.07,
2026-01-27,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-5.50,
2026-01-28,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-42.99,
2026-01-29,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-14.33,
2026-01-31,ACH Deposit Internet transfer from account ending in 4983,297.68,
