date,description,amount,category
2025-02-01,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-4.40,
2025-02-01,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-18.72,
2025-02-02,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-18.71,
2025-02-07,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-9.99,
2025-02-11,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-22.03,
2025-02-14,"FANDANGO * 12200 W OLYMPIC BLVD, SU 8003263264 90210 CA USA",-32.70,
2025-02-19,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-66.11,
2025-02-19,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-11.01,
2025-02-27,A MEDIUM CORPORATION 3500 SOUTH DUPONT HWY 4155085008 19901 DE USA,-5.00,
2025-02-28,ACH Deposit Internet transfer from account ending in 4983,556.78,
