date,description,amount,category
2023-07-31,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-6.99,
2023-08-01,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-3.99,
2023-08-01,APPLE.COM/BILL ONE APPLE PARK CUPERTINO 95014 CA USA,-15.99,
2023-08-04,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-11.00,
2023-08-04,UBER EATS 1455 MARKET ST 8005928996 94103 CA USA,-47.68,
2023-08-07,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-2.99,
2023-08-07,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-9.99,
2023-08-12,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-7.98,
2023-08-12,WIFIONBOARD ALASKA 111 N CANAL ST 877-350-0038 60606 IL USA,-8.00,
2023-08-12,TST* Fields & Ivy Brew706 E 23rd St 913-416-5825 66046 KS USA,-104.56,
2023-08-19,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-3.99,
2023-08-19,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-10.99,
2023-08-23,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-27.98,
2023-08-23,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-9.99,
2023-08-23,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-27.98,
2023-08-26,UBER EATS 1455 MARKET ST 8005928996 94103 CA USA,-38.59,
2023-08-27,A MEDIUM CORPORATION 799 MARKET STREET 4155085008 94103 CA USA,-5.00,
2023-08-31,ACH Deposit Internet transfer from account ending in 4267,541.24,
