date,description,amount,category
2026-01-20,ALP*Taobao Shanghai CN,-13.74,
2026-01-24,ALP *kuangdand shenzhenshi CN,-59.04,
2026-01-25,RING MULTI PLAN RING.COM CA,-110.29,
2026-01-25,SAMMAMISH PLATEAU WATE 425-392-6256 WA,-148.99,
2026-01-26,MED*MULTICARE HEALTH S 800-919-1936 WA,-277.69,
2026-01-26,OUR FAMILY WIZARD 186-675-5999 MN,-6.78,
2026-01-28,ISSAQUAH SCHOOL DISTRI 425-8375060 WA,-103.50,
2026-02-01,STARLINK INTERNET 310-6828100 CA,-50.00,
2026-02-02,Amazon web services aws.amazon.co WA,-2.23,
2026-02-08,LEETCODE.COM LEETCODE.COM CA,-39.00,
2026-02-09,PAYMENT THANK YOU,6031.16,
2026-02-10,"Yu Ding, PsyD 4252868200 WA",-200.00,
2026-02-10,ISSAQUAH SCHOOL DISTRI 425-8375060 WA,-103.50,
2026-02-12,VIRGINIA MASON MEDICAL 206-2236601 WA,-28.85,
2026-02-13,BACKBLAZE INC BACKBLAZE.COM CA,-3.77,
2026-02-14,ALP*Taobao Shanghai CN,-10.44,
2026-02-15,Garmin 800-5112459 ME,-16.53,
