date,description,amount,category
2025-08-19,DELLINO LAW GROUP 206-6596839 WA,-1648.24,
2025-08-20,LEETCODE.COM LEETCODE.COM CA,-35.00,
2025-08-24,WWW COSTCO COM 800-955-2292 WA,-38.31,
2025-08-24,TRADER JOE S #188 SAN DIEGO CA,-6.68,
2025-08-24,SAN DIEGO ZOO SAN DIEGO CA,-33.00,
2025-08-25,SAMMAMISH PLATEAU WATE 425-392-6256 WA,-150.28,
2025-08-25,SHELL OIL10087441019 SAN DIEGO CA,-2.17,
2025-08-26,TOURISM TICKETS MEMORIAL911MU NY,-95.55,
2025-08-26,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,-22.04,
2025-08-27,Adobe Inc San Jose CA,-11.99,
2025-08-27,SHELL OIL 57444035406 SAMMAMISH WA,-75.17,
2025-08-28,COMCAST / XFINITY 800-266-2278 WA,-48.35,
2025-09-01,STARLINK INTERNET 310-6828100 CA,-50.00,
2025-09-02,Amazon web services aws.amazon.co WA,-2.23,
2025-09-04,SQSP* DOMAIN#198833365 SQUARESPACE.C NY,-12.00,
2025-09-08,PAYMENT THANK YOU,1663.31,
2025-09-13,BACKBLAZE INC BACKBLAZE.COM CA,-3.77,
2025-09-15,Garmin 800-5112459 ME,-16.52,
2025-09-16,D J*WSJ 800-568-7625 NJ,-4.41,
