date,description,amount,category
2025-09-17,ISSAQUAH SCHOOL DISTRI 425-8375060 WA,-103.50,
2025-09-20,LEETCODE.COM LEETCODE.COM CA,-35.00,
2025-09-24,ISSAQUAH SCHOOL DISTRI 425-8375060 WA,-103.50,
2025-09-25,SAMMAMISH PLATEAU WATE 425-392-6256 WA,-148.87,
2025-09-29,WSDOT-GOODTOGO ONLINE RENTON WA,-6.50,
2025-09-29,"Yu Ding, PsyD 4252868200 WA",-400.00,
2025-09-30,STARLINK INTERNET 310-6828100 CA,-50.00,
2025-10-02,Amazon web services aws.amazon.co WA,-2.23,
2025-10-03,BRIGHT HORIZONS BACKUP 877-242-2737 MA,-15.00,
2025-10-08,PAYMENT THANK YOU,2255.71,
2025-10-08,WA PARKSRESERVATIONSWE 4210288236htt WA,-78.00,
2025-10-09,BRIGHT HORIZONS BACKUP 877-242-2737 MA,-60.00,
2025-10-10,ISSAQUAH SCHOOL DISTRI 425-8375060 WA,-103.50,
2025-10-13,BACKBLAZE INC BACKBLAZE.COM CA,-3.77,
2025-10-14,D J*WSJ 800-568-7625 NJ,-4.41,
2025-10-15,Garmin 800-5112459 ME,-16.52,
