date,description,amount,category
2023-11-16,QFC #5824 ISSAQUAH WA,-31.54,
2023-11-17,Garmin 800-5112459 KS,-16.46,
2023-11-18,SQ *WNDR SEATTLE Seattle WA,-17.64,
2023-11-18,SQ *WNDR SEATTLE Seattle WA,-11.02,
2023-11-18,SQ *WNDR SEATTLE Seattle WA,-5.00,
2023-11-18,REI #116 ISSAQUAH ISSAQUAH WA,-31.87,
2023-11-19,QFC #5824 ISSAQUAH WA,-5.08,
2023-11-19,Hulu 877-8244858 CA HULU.COM/BILL CA,-19.81,
2023-11-19,TRADER JOE S #160 SAMMAMISH WA,-26.03,
2023-11-20,IC* INSTACART 888-246-7822 CA,-68.11,
2023-11-20,GOOGLE *Domains g.co/HelpPay# CA,-13.04,
2023-11-20,PCC - BELLEVUE BELLEVUE WA,-74.74,
2023-11-20,CHEVRON 0308073 SAMMAMISH WA,-71.50,
2023-11-20,THE HOME DEPOT #4704 ISSAQUAH WA,-47.31,
2023-11-21,CONTAINERSTOREBELLEVUE BELLEVUE WA,48.42,
2023-11-21,RITE AID 05187 ISSAQUAH WA,-5.00,
2023-11-21,RITE AID 05187 ISSAQUAH WA,-5.00,
2023-11-21,ERIN D THERAPY ERINDTHERAPY. WA,-175.00,
2023-11-21,HATLEY COM 8777428539 QC,-163.70,
2023-11-22,HANNA ANDERSSON HANNAANDERSSO OR,-187.61,
2023-11-22,TRADER JOE S #138 ISSAQUAH WA,-36.97,
2023-11-23,WSDOT-GOODTOGO ONLINE RENTON WA,-5.50,
2023-11-23,WSDOT-GOODTOGO ONLINE RENTON WA,-10.00,
2023-11-23,GRUBHUBGHPLUS GRUBHUB.COM NY,-10.94,
2023-11-23,CLOUDFLARE HTTPSWWW.CLOU CA,-10.76,
2023-11-24,WILDFIN AMERICAN GRILL 4254270127 WA,-241.12,
2023-11-24,BLURB 206-905-5999 WA,-96.03,
2023-11-24,SNO KING ICE SPORTS KIRKLAND WA,-71.00,
2023-11-24,UNITED 0162344288110 800-932-2732 TX,-432.57,
2023-11-25,UNITED 0162344288110 800-932-2732 TX,432.57,
2023-11-25,COMCAST CABLE COMM 800-COMCAST WA,-278.00,
2023-11-25,Peacock 096A6 Premium 212-6640138 NY,-6.59,
2023-11-25,QFC #5824 ISSAQUAH WA,-52.31,
2023-11-25,76 - SAMMAMISH HIGHLAN SAMMAMISH WA,-60.16,
2023-11-25,FSP*NORTHWEST RAILWAY SNOQUALMIE WA,-41.38,
2023-11-25,FSP*NORTHWEST RAILWAY SNOQUALMIE WA,-16.34,
2023-11-26,RITE AID 05188 SAMMAMISH WA,-55.00,
2023-11-26,QFC #5824 ISSAQUAH WA,-5.28,
2023-11-26,WWW COSTCO COM 800-955-2292 WA,-31.99,
2023-11-26,SP SHOPIFY STRIPE M SLASHDEVSLASH CA,-19.82,
2023-11-26,REI.COM 800-426-4840 800-426-4840 WA,-94.90,
2023-11-27,STATE PARKS DISCOVER P 360-902-8572 WA,-35.00,
