date,description,amount,category
2024-04-17,ACT*SEAYMCA-2063825000 206-3825000 WA,-154.00,
2024-04-19,Hulu 877-8244858 CA HULU.COM/BILL CA,-19.84,
2024-04-19,Starlink Internet 310-6829683 CA,-101.74,
2024-04-21,D J*WALL-ST-JOURNAL 800-568-7625 NJ,-2.20,
2024-04-23,NYTimes*NYTimes 800-698-4637 NY,-25.55,
2024-04-23,GRUBHUBGHPLUS GRUBHUB.COM NY,-10.94,
2024-04-25,Peacock A8F19 Premium 212-6640138 NY,-6.60,
2024-04-26,COSTCO WHSE #0110 ISSAQUAH WA,-153.25,
2024-04-27,NYTimes*NYTimes 800-698-4637 NY,-20.00,
2024-04-27,REI.COM 800-426-4840 800-426-4840 WA,-293.02,
2024-05-02,DELLINO LAW GROUP 206-6596839 WA,-5000.00,
2024-05-02,DELLINO LAW GROUP 206-6596839 WA,-2235.00,
2024-05-03,KQED Public Media 415-5532150 CA,-5.00,
2024-05-03,SHELL OIL 57444035406 SAMMAMISH WA,-77.74,
2024-05-04,CHEVRON 0204347 SULTAN WA,-20.28,
2024-05-04,MCDONALD'S F13822 LEAVENWORTH WA,-13.01,
2024-05-04,MCDONALD'S F13822 LEAVENWORTH WA,-4.77,
2024-05-05,QFC #5840 SAMMAMISH WA,-3.84,
2024-05-05,CHEVRON 0308073 SAMMAMISH WA,-83.91,
2024-05-05,HABIT BURGER GRILL 507 SAMMAMISH WA,-26.86,
2024-05-06,ZOOM.US 888-799-9666 WWW.ZOOM.US CA,-17.62,
2024-05-06,WA PARKSRESERVATIONSWE 1982223374htt WA,-108.00,
2024-05-06,ASIAN FAMILY MARKET BE 4256438558 WA,-53.56,
2024-05-08,QFC #5840 SAMMAMISH WA,-26.86,
2024-05-10,SQ *SOMISOMI Bellevue WA,-16.71,
2024-05-11,SHELL OIL 57444035406 SAMMAMISH WA,-87.72,
2024-05-12,QFC #5824 ISSAQUAH WA,-39.11,
2024-05-12,QFC #5824 ISSAQUAH WA,-3.30,
2024-05-12,TRADER JOE S #160 SAMMAMISH WA,-60.39,
2024-05-15,CHEVRON 0308073 SAMMAMISH WA,-49.10,
2024-05-16,QUICKEN INC 650-250-1900 CA,-39.57,
