date,description,amount,category
2023-12-18,THE STRIPED COW LAWRENCE KS,-48.09,
2023-12-18,WECHAT*TENCENT ShenZhen CN,-11.22,
2023-12-18,GOLDMAKERS LAWRENCE KS,-100.56,
2023-12-18,REPUBLIC SERVICES TRAS 866-576-5548 AZ,-172.53,
2023-12-18,PHOENIX GALLERY 785-8430080 KS,-30.60,
2023-12-18,PHOENIX GALLERY 785-8430080 KS,-37.17,
2023-12-18,GOOGLE *Domains g.co/helppay# CA,-13.04,
2023-12-18,LAWRENCE ANTIQUE MALL LAWRENCE KS,-50.58,
2023-12-19,NAIL CITI LAWRENCE KS,-124.00,
2023-12-19,WECHAT*TENCENT ShenZhen CN,-2.95,
2023-12-19,WECHAT*TENCENT ShenZhen CN,-12.35,
2023-12-19,Hulu 877-8244858 CA HULU.COM/BILL CA,-19.81,
2023-12-20,TARGET 00005314 LAWRENCE KS,-5.45,
2023-12-21,WECHAT*TENCENT ShenZhen CN,-3.25,
2023-12-21,ERIN D THERAPY ERINDTHERAPY. WA,-175.00,
2023-12-22,WECHAT*TENCENT ShenZhen CN,-3.36,
2023-12-22,WECHAT*TENCENT ShenZhen CN,-1.68,
2023-12-22,GOLDMAKERS LAWRENCE KS,-53.56,
2023-12-22,GOOGLE *Domains g.co/helppay# CA,-65.22,
2023-12-23,WECHAT*TENCENT ShenZhen CN,-4.06,
2023-12-23,WECHAT*TENCENT ShenZhen CN,-0.03,
2023-12-23,WECHAT*TENCENT ShenZhen CN,-1.40,
2023-12-23,WECHAT*TENCENT ShenZhen CN,-1.68,
2023-12-23,GRUBHUBGHPLUS GRUBHUB.COM NY,-10.94,
2023-12-24,WECHAT*TENCENT ShenZhen CN,-3.48,
2023-12-24,POSHMARK 650-488-7740 CA,-85.85,
2023-12-24,GRUBHUBDANJIKOREANCUI GRUBHUB.COM NY,-60.88,
2023-12-24,SELECT COMFORT 10000 800-472-7185 MN,-154.13,
2023-12-24,METROPOLITAN MARKET SAMMAMISH WA,-116.48,
2023-12-25,COMCAST CABLE COMM 800-COMCAST WA,-267.64,
2023-12-25,Peacock 16DE4 Premium 212-6640138 NY,-6.59,
2023-12-25,WECHAT*TENCENT ShenZhen CN,-4.54,
2023-12-25,WECHAT*TENCENT ShenZhen CN,-16.92,
2023-12-25,Google Domains 650-2530000 CA,-65.22,
2023-12-26,Fjallraven 855-9963746 CO,-132.12,
2023-12-27,WECHAT*TENCENT ShenZhen CN,-5.85,
2023-12-27,WECHAT*TENCENT ShenZhen CN,-0.84,
2023-12-27,LENSRENTALS.COM HTTPSWWW.LENS TN,-935.85,
2023-12-28,GRUBHUBZEEKSPIZZASAMM GRUBHUB.COM NY,-54.29,
2023-12-28,ZOOM.US 888-799-9666 WWW.ZOOM.US CA,-17.61,
2023-12-28,REI.COM 800-426-4840 800-426-4840 WA,-47.85,
2023-12-28,REI.COM 800-426-4840 800-426-4840 WA,-36.26,
2023-12-28,REI.COM 800-426-4840 800-426-4840 WA,-36.25,
2023-12-28,REI.COM 800-426-4840 800-426-4840 WA,-61.58,
2023-12-28,GOOGLE *Domains g.co/helppay# CA,-13.04,
2023-12-28,WHOLEFDS RMD 10260 REDMOND WA,-106.20,
2023-12-29,PAY* PROVIDENCE.ORG HTTPSWWW.CEDA NY,-18.30,
2023-12-29,RITE AID 05188 SAMMAMISH WA,-92.19,
2023-12-29,QFC #5824 ISSAQUAH WA,-28.25,
2023-12-30,QFC #5824 ISSAQUAH WA,-29.44,
2023-12-30,SHOPIFY* 210491739 HTTPSSHOPIFY. IL,-1.11,
2023-12-30,TRADER JOE S #138 ISSAQUAH WA,-23.60,
2023-12-30,TARGET 00009969 ISSAQUAH WA,-76.50,
2023-12-31,D J*WALL-ST-JOURNAL 800-568-7625 NJ,-2.20,
2023-12-31,RITE AID 05188 SAMMAMISH WA,-18.00,
2023-12-31,QFC #5824 ISSAQUAH WA,-44.01,
2023-12-31,KQED Public Media 415-5532150 CA,-5.00,
2023-12-31,NYTimes*NYTimes disc 800-698-4637 NY,-18.39,
2023-12-31,HATLEY COM 8777428539 QC,-28.99,
2024-01-01,QFC #5824 ISSAQUAH WA,-29.88,
2024-01-02,PETCO.COM 6989 858-453-7845 CA,-43.86,
2024-01-02,PETCO.COM 6989 858-453-7845 CA,-52.80,
2024-01-03,RITE AID 05188 SAMMAMISH WA,-5.38,
2024-01-03,PETCO.COM 6989 858-453-7845 CA,-83.35,
2024-01-03,SPOTIFY 877-778-1161 NY,-12.10,
2024-01-03,SP COSABELLA HTTPSCOSABELL FL,-115.05,
2024-01-04,SP VESSI FOOTWEAR HTTPSVESSI.CO DE,-148.64,
2024-01-04,QFC #5824 ISSAQUAH WA,-12.72,
2024-01-04,ENOM.COM ENOM.COM WA,-25.00,
2024-01-04,REI.COM 800-426-4840 800-426-4840 WA,-10.79,
2024-01-04,SHELL OIL 57444035406 SAMMAMISH WA,-65.38,
2024-01-05,IC* INSTACART 888-246-7822 CA,-135.35,
