date,description,amount,category
2025-09-26,SQ *CLOUDLAND DANCE Redmond WA,-30.00,
2025-09-27,WINTHROP/N. CASCADES N WINTHROP WA,41.58,
2025-09-27,BUY THE YEARBOOK BUYTHEYEARBOOMN,-26.25,
2025-09-27,GOLFGENTRY UK,-65.08,
2025-09-27,ACURA OF BELLEVUE BELLEVUE WA,-2521.68,
2025-09-27,ARCO#07112ARCO #07112 BELLEVUE WA,-36.50,
2025-09-27,DORIAN STUDIO. INC 800-826-3535 WA,-56.00,
2025-09-28,COMCAST / XFINITY 800-266-2278 WA,-48.35,
2025-09-29,QFC #5824 ISSAQUAH WA,-6.50,
2025-09-29,QFC #5824 ISSAQUAH WA,-3.25,
2025-09-29,QFC #5824 ISSAQUAH WA,-31.96,
2025-09-30,WWW.PROVID* PROVIDENCE PROVIDENCE.ORWA,-11.65,
2025-09-30,WA DOL LIC & REG 56215 BELLEVUE WA,-75.25,
2025-09-30,THE HOME DEPOT #4723 REDMOND WA,-17.60,
2025-10-03,APPLE.COM/US 800-676-2775 CA,639.16,
2025-10-03,CHEVRON 0308073 SAMMAMISH WA,-72.91,
2025-10-03,QFC #5840 SAMMAMISH WA,-3.78,
2025-10-07,BA ELECTRONIC PAYMENT,6849.26,
2025-10-10,BA ELECTRONIC PAYMENT,500.00,
2025-10-10,SPUDS II ROYAL CITY WA,-49.61,
2025-10-20,ALASKA AIR 0272120827530SEATTLE WA,-727.40,
2025-10-22,BRIGHT HORIZONS BACKUP 877-242-2737 MA,-15.00,
2025-10-26,SHELL OIL 10010233004 KAPAA HI,-46.95,
2025-10-28,COMCAST / XFINITY 800-266-2278 WA,-48.35,
