date,description,amount,category
2025-08-30,ANNUAL FEE,-95.00,
2025-09-03,DELLINO LAW GROUP 206-6596839 WA,-295.50,
2025-09-04,STATE PARKS DISCOVER PAS 360-902-8572 WA,-35.00,
2025-09-04,QFC #5824 ISSAQUAH WA,-29.60,
2025-09-05,CVS PHARMACY #11680 SAMMAMISH WA,-6.60,
2025-09-05,TRADER JOE S #160 SAMMAMISH WA,-19.02,
2025-09-07,QFC #5824 ISSAQUAH WA,-60.87,
2025-09-07,QFC #5824 ISSAQUAH WA,-1.99,
2025-09-07,MCDONALD'S F11996 SAMMAMISH WA,-4.39,
2025-09-07,TRADER JOE S #160 SAMMAMISH WA,-45.92,
2025-09-07,SHELL OIL 57444035406 SAMMAMISH WA,-70.81,
2025-09-08,BRIGHT HORIZONS BACKUP 877-242-2737 MA,-30.00,
2025-09-09,QFC #5824 ISSAQUAH WA,-20.63,
2025-09-09,COSTCO WHSE #0110 ISSAQUAH WA,-56.94,
2025-09-10,OR STATE PARKS 800-5516949 OR,-70.00,
2025-09-11,QFC #5824 ISSAQUAH WA,-56.11,
2025-09-12,PILOT_01169 TUMWATER WA,-45.96,
2025-09-13,OR PARKS SILVER FALLS SUBLIMITY OR,-12.00,
2025-09-14,ARCO#82989PNW OIL LLC WOODLAND WA,-50.02,
2025-09-15,APPLE.COM/US 800-676-2775 CA,-65.02,
2025-09-15,REI.COM 800-426-4840 800-426-4840 WA,-4.96,
2025-09-15,OUTDOORSTATUS.COM OUTDOORSTATUSCA,-15.00,
2025-09-15,QFC #5824 ISSAQUAH WA,-24.32,
2025-09-16,WINTHROP/N. CASCADES N WWW.KOA.COM WA,-61.58,
2025-09-16,REI.COM 800-426-4840 800-426-4840 WA,-148.71,
2025-09-16,QFC #5840 SAMMAMISH WA,-54.04,
2025-09-17,QFC #5824 ISSAQUAH WA,-17.98,
2025-09-17,GOURMET LATTE 17 LYNNWOOD WA,-6.11,
2025-09-19,APPLE.COM/US 800-676-2775 CA,-1431.50,
2025-09-19,APPLE.COM/BILL 866-712-7753 CA,-15.06,
2025-09-19,QFC #5824 ISSAQUAH WA,-36.96,
2025-09-19,VIRGINIA MASON MEDICAL CE206-2236601 WA,-61.10,
2025-09-19,VIRGINIA MASON MEDICAL CE206-2236601 WA,-18.60,
2025-09-20,WWW.PROVID* PROVIDENCE PROVIDENCE.ORWA,-195.31,
2025-09-20,SQ *JB FAMILY GROWERS/JB gosq.com WA,-32.64,
2025-09-20,SQ *BLUESASHQUATCHGRIL Kirkland WA,-8.50,
2025-09-20,SQ *BLUESASHQUATCHGRIL Kirkland WA,-15.50,
2025-09-20,SQ *BLUESASHQUATCHGRIL Kirkland WA,-22.50,
2025-09-20,SQ *JB FAMILY GROWERS/JB Woodinville WA,-19.26,
2025-09-20,SQ *SOMISOMI Bellevue WA,-18.66,
2025-09-20,SHELL OIL 12422233002 BELLEVUE WA,-87.55,
2025-09-21,ASIAN FAMILY MARKET BE BELLEVUE WA,-78.05,
2025-09-21,LS KIDSQUEST CHILDREN 142-56378100 WA,-1.00,
2025-09-21,LS KIDSQUEST CHILDREN 142-56378100 WA,-4.50,
2025-09-21,LS KIDSQUEST CHILDREN 142-56378100 WA,-1.00,
2025-09-21,AT *KIDSQUEST CHILD'S MUSBELLEVUE WA,-50.25,
2025-09-22,WEEE INC. 510-573-4967 CA,-58.38,
2025-09-22,COSTCO WHSE #0110 ISSAQUAH WA,-98.39,
2025-09-23,COSTCO BY INSTACART INSTACART.COMCA,-48.45,
2025-09-24,BRIGHT HORIZONS BACKUP 877-242-2737 MA,-15.00,
2025-09-26,TESLA RESERVATION US PALO ALTO CA,-801.00,
